SaleID,price
200000,1177.7182859253367
200001,1868.5511910186397
200002,8525.184314171533
200003,1329.3344681698445
200004,2052.339770798934
200005,1212.7335521357963
200006,380.6007399774152
200007,3641.44542842009
200008,12377.461183178028
200009,619.9470088541312
200010,529.2355125000652
200011,2575.2603341289223
200012,5959.093175587504
200013,8147.119909543022
200014,1969.9671045465943
200015,242.90195614129462
200016,1718.5038687366123
200017,8458.185931156135
200018,6525.316890332406
200019,655.6993678200813
200020,24439.968098396654
200021,7672.543178473256
200022,1903.1245294260855
200023,1535.177854864859
200024,914.4357267222773
200025,9474.719123033472
200026,481.69135929205584
200027,12716.815103400044
200028,4315.284348377028
200029,7777.663496767469
200030,17325.125809727753
200031,12107.439887047298
200032,577.7701718640781
200033,14482.579827989735
200034,830.8651801029428
200035,1921.5519356925392
200036,14447.044781732597
200037,6261.546536145019
200038,1288.06982042748
200039,302.8287245485691
200040,594.3323665681103
200041,26096.99193052928
200042,374.37316743229474
200043,8111.611071724109
200044,17787.832157643283
200045,631.143824861769
200046,15352.543990006305
200047,17127.67194181645
200048,1995.787573795274
200049,3068.450183704085
200050,894.4991360456531
200051,4488.091429430952
200052,2829.3911179566194
200053,294.4572191423931
200054,12969.302800471974
200055,9847.440550424057
200056,8390.53494127636
200057,3324.6775376805717
200058,1203.506014496039
200059,5080.676805979132
200060,7918.781565624094
200061,1163.0197662326032
200062,5313.879005510918
200063,8691.5528028172
200064,1222.2715024574215
200065,1847.5530441961869
200066,559.8117858437668
200067,10332.144492779778
200068,161.8642489198587
200069,17714.74456544205
200070,9184.690390806165
200071,392.7198516913884
200072,5798.412954772795
200073,19749.983683376464
200074,4321.321885322388
200075,15013.97269446131
200076,3047.352173427021
200077,423.06182713781425
200078,368.3636506325648
200079,2901.833606916928
200080,3322.1128014331493
200081,2021.7195328125438
200082,4083.4183588263254
200083,437.3389269638584
200084,1310.277130794464
200085,1612.971117020269
200086,6754.4216453501485
200087,3340.0009556172226
200088,2691.788094384675
200089,41335.962735661196
200090,3031.3344415929996
200091,189.03403049744918
200092,2037.759914847547
200093,16665.036141882207
200094,6981.52633178086
200095,5488.466784585593
200096,2381.0795395196656
200097,1175.5801776182625
200098,383.77235712715765
200099,20859.25689642899
200100,21391.7294769015
200101,8078.591184201631
200102,1802.0583754502943
200103,10316.191693295339
200104,5586.714390137686
200105,3446.527804583944
200106,8528.918918948239
200107,1838.6297061652851
200108,15126.11721079133
200109,8304.162080864735
200110,1255.651640544796
200111,1705.8174419735883
200112,1848.9802012367936
200113,597.6134080715245
200114,2260.0896080880657
200115,1286.3654083752908
200116,13110.548117509505
200117,17210.185185184906
200118,55272.85496890024
200119,229.08241681444412
200120,3452.1673108858413
200121,2704.479092334544
200122,695.6336877400759
200123,2256.9907004178367
200124,54213.88310682724
200125,818.1945818655602
200126,3434.987132417773
200127,15430.315232996334
200128,1616.258916264012
200129,5667.564302809292
200130,3724.743587443142
200131,3089.471720617502
200132,1196.6146980930423
200133,2770.2066937524605
200134,1256.9818235835555
200135,3106.32351791686
200136,3871.626920069809
200137,1196.2473368939322
200138,9639.910130667067
200139,6586.857656474247
200140,2667.7191427428347
200141,1501.210557935415
200142,5953.314215255814
200143,10598.412790709754
200144,1371.9231703454234
200145,6175.332292689143
200146,2626.6629936697054
200147,4485.624503061247
200148,2648.7583436444297
200149,247.30146522166476
200150,10664.728023300275
200151,5172.274881842328
